"WBAN","STATION_ID","UTC_START","TEMPERATURE","PRECIPITATION","VARIABLE","VOLUMETRIC","NOPRCPRESPONSE","FROZENRECOVERY","NOISE","FAILURE","STATIC","ERRATIC","DIURNALNOISE","TOOHIGH","SCALING","ZERO","SPIKE","stVarId","flgCount","anyFlag"
63858,1122,"2017-11-08 00:00:00",20.979,0,"sw2010",0.469,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 01:00:00",21.09,0,"sw2010",0.463,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 02:00:00",20.685,0,"sw2010",0.46,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 03:00:00",20.612,0,"sw2010",0.474,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 04:00:00",20.613,0,"sw2010",0.468,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 05:00:00",20.645,0,"sw2010",0.465,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 06:00:00",20.659,0,"sw2010",0.464,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 07:00:00",20.178,0,"sw2010",0.465,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 08:00:00",19.344,0,"sw2010",0.466,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 09:00:00",18.518,0,"sw2010",0.473,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 10:00:00",17.355,0,"sw2010",0.459,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 11:00:00",16.598,0,"sw2010",0.459,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 12:00:00",16.405,0,"sw2010",0.465,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 13:00:00",16.611,0,"sw2010",0.465,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 14:00:00",16.533,0,"sw2010",0.471,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 15:00:00",16.251,0,"sw2010",0.468,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 16:00:00",16.269,0,"sw2010",0.457,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 17:00:00",15.702,0,"sw2010",0.468,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 18:00:00",16.26,0,"sw2010",0.471,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 19:00:00",15.638,0,"sw2010",0.471,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 20:00:00",15.403,0,"sw2010",0.471,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 21:00:00",15.094,0,"sw2010",0.471,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 22:00:00",14.38,0,"sw2010",0.471,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-08 23:00:00",14.092,0,"sw2010",0.464,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 00:00:00",13.95,0,"sw2010",0.461,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 01:00:00",13.618,0,"sw2010",0.46,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 02:00:00",13.272,0,"sw2010",0.472,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 03:00:00",12.701,0,"sw2010",0.466,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 04:00:00",12.274,0,"sw2010",0.467,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 05:00:00",12.12,0,"sw2010",0.467,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 06:00:00",11.902,0,"sw2010",0.468,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 07:00:00",11.493,0,"sw2010",0.465,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 08:00:00",11.172,2,"sw2010",0.471,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 09:00:00",10.812,4.8,"sw2010",0.478,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
63858,1122,"2017-11-09 10:00:00",10.692,1,"sw2010",0.482,0,0,0,0,0,0,0,0,0,0,0,"1122sw2010",0,0
